@relation 'AT: bloodDonation-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute '-0.611Frequency (times)-0.611Monetary (c.c. blood)-0.494Time (months)+0.093Recency (months)' numeric
@attribute '0.915Recency (months)+0.384Time (months)-0.085Monetary (c.c. blood)-0.085Frequency (times)' numeric
@attribute '0.78 Time (months)-0.391Recency (months)-0.345Monetary (c.c. blood)-0.345Frequency (times)' numeric
@attribute 'whether he/she donated blood in March 2007' {Yes,No}

@data
-0.365073,-0.446912,-0.972566,No
-1.955932,-0.780087,-0.55382,No
0.24579,-0.956351,-0.440192,No
-0.314772,-0.904409,-0.452598,No
-2.355318,-0.835802,0.167267,No
-2.884068,-0.686528,0.074509,No
0.391525,-1.121853,-0.161279,No
0.391525,-1.121853,-0.161279,No
-0.851179,-0.923457,0.005922,No
1.30329,-1.254898,-0.254677,No
1.30329,-1.254898,-0.254677,No
1.30329,-1.254898,-0.254677,No
-1.472531,-0.824259,0.089523,No
0.060586,-1.056502,-0.087476,No
-1.803471,-0.758908,0.163325,No
-3.228546,-0.418744,0.618545,No
0.092398,-0.95917,-0.167828,No
-0.290617,-0.975399,0.018328,No
-1.323963,-0.747842,0.30374,No
-3.075154,-0.415925,0.346181,No
1.239667,-1.449561,-0.093974,No
-0.186467,-0.81224,-0.206379,No
-1.166679,-0.80026,0.534304,No
0.600884,-1.092692,-0.043068,No
0.600884,-1.092692,-0.043068,No
1.262763,-1.223394,-0.190673,No
1.262763,-1.223394,-0.190673,No
1.262763,-1.223394,-0.190673,No
1.262763,-1.223394,-0.190673,No
0.600884,-1.092692,-0.043068,No
0.600884,-1.092692,-0.043068,No
0.600884,-1.092692,-0.043068,No
-0.060995,-0.96199,0.104537,No
1.28586,-0.997227,-0.287372,No
1.28586,-0.997227,-0.287372,No
1.28586,-0.997227,-0.287372,No
1.28586,-0.997227,-0.287372,No
1.28586,-0.997227,-0.287372,No
1.28586,-0.997227,-0.287372,No
-0.890989,-0.055719,-1.13002,No
-0.247257,-0.764984,-0.110373,No
-3.527674,-0.256062,0.611996,No
-0.909136,-0.634282,0.037232,No
0.188891,-0.964333,0.158743,No
0.188891,-0.964333,0.158743,No
-3.168814,-0.168843,-0.045086,No
-1.130975,-0.758167,0.95688,No
0.20044,-0.851249,0.110393,No
0.85077,-1.095035,0.011138,No
-1.627913,-0.511562,0.783772,No
-1.030716,-0.53977,0.229245,No
0.272778,-0.785422,-0.033962,No
-2.411373,-0.286348,1.123389,No
-4.455006,0.097936,-1.306318,No
-1.753386,-0.361812,0.472856,No
-0.869541,-0.647426,0.962737,No
0.39825,-0.935172,0.276953,No
0.026784,-0.838317,0.41476,No
0.39825,-0.935172,0.276953,No
0.171461,-0.706662,0.126048,No
-2.674797,-0.081572,1.539417,No
1.141183,-1.128882,0.00134,No
-0.179742,-0.625559,0.231853,No
-2.323594,-0.162675,1.433612,No
0.749453,-1.016275,0.171149,No
-0.034006,-0.791061,0.510766,No
-2.735587,-0.034316,1.635423,No
0.411574,-0.283012,-0.403718,No
1.12092,-1.11313,0.033342,No
-1.621188,-0.324881,1.222003,No
-2.8765,0.057589,0.869929,No
0.83334,-0.837364,-0.021557,No
0.83334,-0.837364,-0.021557,No
0.896964,-0.6427,-0.18226,No
1.12092,-1.11313,0.033342,No
1.12092,-1.11313,0.033342,No
-0.260795,-0.562551,0.359861,No
-2.097863,-0.094028,1.016892,No
1.512649,-1.225737,-0.136467,No
1.512649,-1.225737,-0.136467,No
1.512649,-1.225737,-0.136467,No
1.512649,-1.225737,-0.136467,No
1.512649,-1.225737,-0.136467,No
1.512649,-1.225737,-0.136467,No
1.512649,-1.225737,-0.136467,No
1.512649,-1.225737,-0.136467,No
1.512649,-1.225737,-0.136467,No
1.512649,-1.225737,-0.136467,No
1.512649,-1.225737,-0.136467,No
1.512649,-1.225737,-0.136467,No
1.512649,-1.225737,-0.136467,No
1.512649,-1.225737,-0.136467,No
1.512649,-1.225737,-0.136467,No
1.512649,-1.225737,-0.136467,No
1.512649,-1.225737,-0.136467,No
1.512649,-1.225737,-0.136467,No
-0.936339,0.049382,-0.579434,No
0.688663,-0.969019,0.267155,No
0.693272,-0.188023,-0.429863,No
0.21588,-0.793404,0.564972,No
-2.509856,0.034331,1.218703,No
-0.312154,0.192104,-0.727731,No
-0.686453,0.047039,-0.525228,No
0.049881,-0.61215,0.318061,No
0.421347,-0.709005,0.180254,No
-2.868843,0.22591,0.318651,No
-0.733578,-0.386936,0.657678,No
-0.733578,-0.386936,0.657678,No
0.21588,-0.793404,0.564972,No
-1.287542,0.130485,-0.47363,No
1.06013,-1.065874,0.129348,No
-0.422902,-0.436535,0.615878,No
-0.186682,0.042353,-0.416816,No
-0.952711,0.009896,-0.044504,No
-0.524219,-0.357775,0.775889,No
-0.855159,-0.292424,0.849691,No
-0.855159,-0.292424,0.849691,No
-0.78777,0.125799,-0.365218,No
0.083468,0.024258,-0.394612,No
1.019603,-1.03437,0.193353,No
-1.242997,-0.235055,1.522428,No
0.063204,0.04001,-0.36261,No
0.954706,-0.077283,-0.424006,No
1.495219,-0.968065,-0.169161,No
1.495219,-0.968065,-0.169161,No
1.495219,-0.968065,-0.169161,No
1.495219,-0.968065,-0.169161,No
1.495219,-0.968065,-0.169161,No
1.495219,-0.968065,-0.169161,No
1.495219,-0.968065,-0.169161,No
1.495219,-0.968065,-0.169161,No
1.495219,-0.968065,-0.169161,No
1.495219,-0.968065,-0.169161,No
1.495219,-0.968065,-0.169161,No
1.495219,-0.968065,-0.169161,No
0.671233,-0.711348,0.23446,No
1.495219,-0.968065,-0.169161,No
1.495219,-0.968065,-0.169161,No
1.495219,-0.968065,-0.169161,No
1.495219,-0.968065,-0.169161,No
-0.610223,0.057629,-0.166656,No
-0.091246,0.334348,-0.65787,No
-1.53836,0.151188,0.461673,No
0.934443,-0.061531,-0.392004,No
1.083226,-0.839707,0.03265,No
0.053773,-0.667388,0.820989,No
-1.227683,0.101589,0.419873,No
-4.725243,0.691826,0.018175,No
1.201759,-0.321545,-0.305104,No
-0.19328,-0.423126,0.702086,No
-1.821116,0.353356,-0.079806,No
-2.434684,0.342078,1.009651,No
1.224855,-0.095377,-0.401802,No
1.224855,-0.095377,-0.401802,No
1.224855,-0.095377,-0.401802,No
-1.013374,-0.221646,1.608636,No
-2.03919,0.453031,-0.214364,No
0.425239,-0.764243,0.683183,No
-0.318035,0.562858,-0.808775,No
-0.348789,0.168369,-0.160799,No
0.59018,-0.64834,0.362469,No
-1.809567,0.46644,-0.128156,No
0.117396,-0.472725,0.660286,No
0.877759,-0.924106,0.417367,No
-0.43644,-0.234102,1.086112,No
0.889307,-0.811022,0.369018,No
-0.740518,0.280976,0.00901,No
-1.34148,0.085624,1.617742,No
0.6266,0.229988,-0.414901,No
-1.189273,0.664399,-0.779381,No
-0.108676,0.592019,-0.690565,No
1.077345,-0.468952,-0.048394,No
-0.43644,-0.234102,1.086112,No
-0.43644,-0.234102,1.086112,No
0.016079,-0.393965,0.820297,No
-1.975566,0.647694,-0.375067,No
0.468599,-0.553828,0.554482,No
-3.447893,0.832681,-0.294074,No
-0.781045,0.31248,0.073014,No
-2.867068,0.764987,-0.31367,No
0.327472,0.39267,-0.42145,No
1.088893,-0.355868,-0.096744,No
0.150983,0.163683,-0.052387,No
1.164065,-0.048122,-0.305796,No
0.900856,-0.697939,0.320669,No
-1.601267,0.792758,-0.57757,No
0.461659,0.114084,-0.094187,No
0.110456,0.195187,0.011618,No
0.110456,0.195187,0.011618,No
-0.493339,-0.242084,1.685046,No
0.286945,0.424174,-0.357445,No
1.19871,0.291129,-0.450844,No
1.19871,0.291129,-0.450844,No
1.19871,0.291129,-0.450844,No
1.19871,0.291129,-0.450844,No
1.19871,0.291129,-0.450844,No
1.19871,0.291129,-0.450844,No
0.080761,-0.496459,1.227219,No
-0.043994,0.489525,-0.283643,No
-0.760655,0.01793,1.598146,No
0.772335,0.064485,-0.135987,No
0.620718,0.600742,-0.495944,No
0.911131,0.566895,-0.505743,No
0.049666,0.242443,0.107624,No
1.123538,-0.016618,-0.241792,No
-1.222017,0.585427,0.29048,No
1.451644,-0.323888,-0.250898,No
1.451644,-0.323888,-0.250898,No
0.779275,-0.603427,0.512681,No
1.103275,-0.000866,-0.20979,No
0.536831,0.421831,-0.303239,No
-0.011124,0.289699,0.20363,No
-3.09868,1.067094,0.022006,No
0.340079,0.208596,0.097826,No
-0.31131,0.749539,-0.370544,No
1.158184,0.322633,-0.38684,No
0.513018,-0.64057,0.993406,No
-3.434443,1.206043,0.582389,No
-0.331573,0.765291,-0.338542,No
-0.516777,0.66514,0.014174,No
-0.041161,0.731444,-0.34834,No
1.18128,0.5488,-0.483539,No
0.671018,0.143245,0.024023,No
-0.8959,0.593673,0.703258,No
0.526341,0.01159,0.312735,No
0.455778,0.484839,-0.175231,No
-7.936409,1.582253,-2.453383,No
-0.564961,0.528322,0.629456,No
1.434215,-0.066216,-0.283592,No
1.434215,-0.066216,-0.283592,No
1.434215,-0.066216,-0.283592,No
1.434215,-0.066216,-0.283592,No
1.434215,-0.066216,-0.283592,No
1.434215,-0.066216,-0.283592,No
1.434215,-0.066216,-0.283592,No
1.434215,-0.066216,-0.283592,No
1.022221,0.062142,-0.081781,No
-0.193494,0.431467,0.491649,No
1.022221,0.062142,-0.081781,No
0.519401,0.679502,-0.335934,No
0.536115,-0.414403,0.896707,No
-0.142478,0.810204,-0.188329,No
0.74619,0.450992,-0.185029,No
0.897808,-0.085265,0.174928,No
-2.664649,1.46206,-0.844129,No
-0.388472,0.757309,0.260393,No
0.961431,0.109398,0.014225,No
-0.281146,0.028996,1.73856,No
-1.894727,1.439279,-0.713512,No
-0.828385,0.733098,1.045484,No
-2.290349,1.607124,-1.046632,No
0.293671,0.610855,0.080786,No
0.920904,0.140902,0.078229,No
0.644874,0.529752,-0.025018,No
0.313217,-0.241131,1.24873,No
-0.311183,0.470741,1.18659,No
0.253144,0.642359,0.14479,No
-0.158849,0.770718,0.346601,No
1.40807,0.32029,-0.332634,No
1.40807,0.32029,-0.332634,No
1.40807,0.32029,-0.332634,No
1.40807,0.32029,-0.332634,No
1.40807,0.32029,-0.332634,No
1.40807,0.32029,-0.332634,No
1.40807,0.32029,-0.332634,No
1.40807,0.32029,-0.332634,No
-1.023362,1.05894,0.814227,No
1.40807,0.32029,-0.332634,No
1.40807,0.32029,-0.332634,No
0.1616,0.295126,0.888773,No
-1.043626,1.074692,0.846229,No
-0.146242,0.586644,0.865877,No
-0.166506,0.602396,0.897879,No
0.171374,-0.130867,1.472745,No
-0.207033,0.6339,0.961883,No
0.276241,0.868526,0.048092,No
-1.972821,1.465408,0.906934,No
0.827029,1.242577,-0.523475,No
-1.290678,1.318954,0.727327,No
1.062533,0.885232,-0.356222,No
0.289564,1.520686,-0.632579,No
-0.601938,1.637979,-0.571183,No
0.60718,0.803175,-0.025711,No
-0.442537,0.991246,0.794631,No
0.44224,0.687272,0.295003,No
1.39064,0.577961,-0.365328,No
1.39064,0.577961,-0.365328,No
1.39064,0.577961,-0.365328,No
1.39064,0.577961,-0.365328,No
1.39064,0.577961,-0.365328,No
1.39064,0.577961,-0.365328,No
1.39064,0.577961,-0.365328,No
0.174924,0.947286,0.208102,No
1.39064,0.577961,-0.365328,No
1.39064,0.577961,-0.365328,No
1.39064,0.577961,-0.365328,No
1.39064,0.577961,-0.365328,No
1.39064,0.577961,-0.365328,No
0.978646,0.70632,-0.163517,No
1.097179,1.224482,-0.501271,No
0.958383,0.722072,-0.131515,No
1.097179,1.224482,-0.501271,No
1.097179,1.224482,-0.501271,No
-0.091334,0.910143,0.688827,No
-0.338386,1.154405,0.569924,No
1.120275,1.450649,-0.597969,No
-0.645171,1.148766,1.114652,No
0.809599,1.500248,-0.556169,No
0.4856,0.897687,0.166302,No
0.370959,0.324287,1.006983,No
0.370959,0.324287,1.006983,No
-0.233178,1.020407,0.912841,No
0.773179,0.621921,0.221201,No
-1.425797,1.615899,1.389573,No
1.056652,1.255986,-0.437266,No
0.219342,0.860544,0.647026,No
-2.810472,2.203357,0.223655,No
-1.652586,1.844409,1.238668,No
0.364019,0.992199,0.358315,No
-0.301624,0.899341,1.560125,No
0.394056,0.550454,0.910285,No
-0.301624,0.899341,1.560125,No
-2.24991,2.151415,0.236061,No
0.644659,1.384345,-0.235455,No
1.059485,1.497905,-0.501963,No
1.059485,1.497905,-0.501963,No
-0.966679,1.921515,0.004856,No
0.282966,1.055207,0.486323,No
0.708282,1.579008,-0.396158,No
0.583869,1.431601,-0.139449,No
1.018958,1.529409,-0.437959,No
1.347065,1.222139,-0.447064,No
1.347065,1.222139,-0.447064,No
1.347065,1.222139,-0.447064,No
1.347065,1.222139,-0.447064,No
1.347065,1.222139,-0.447064,No
1.347065,1.222139,-0.447064,No
1.347065,1.222139,-0.447064,No
1.347065,1.222139,-0.447064,No
1.347065,1.222139,-0.447064,No
1.347065,1.222139,-0.447064,No
1.347065,1.222139,-0.447064,No
-0.280644,1.719823,0.328177,No
0.255762,1.738871,-0.130343,No
0.090822,1.622968,0.19037,No
0.029315,0.83399,1.486323,No
-0.217021,1.914486,0.167474,No
0.566439,1.689272,-0.172144,No
0.546175,1.705024,-0.140141,No
-0.408823,1.348856,1.639092,No
0.854018,1.413506,-0.117245,No
-0.669541,2.074349,0.433289,No
1.329635,1.47981,-0.479759,No
1.329635,1.47981,-0.479759,No
1.329635,1.47981,-0.479759,No
1.329635,1.47981,-0.479759,No
1.329635,1.47981,-0.479759,No
1.329635,1.47981,-0.479759,No
1.329635,1.47981,-0.479759,No
1.329635,1.47981,-0.479759,No
0.093655,1.864887,0.125674,No
-1.016852,2.100214,1.042022,No
0.404331,1.815288,0.083873,No
0.732438,1.508018,0.074768,No
0.05702,1.841153,0.692606,No
0.087057,1.399408,1.244576,No
-0.06456,1.935665,0.884619,No
-0.5953,2.400455,1.213746,No
-0.426468,2.46112,1.395961,No
-0.176582,2.458777,1.450167,No
0.218698,3.424323,0.015715,No
1.19891,3.412344,-0.724967,No
1.19891,3.412344,-0.724967,No
1.18148,3.670015,-0.757662,No
0.88517,8.050425,-1.313468,No
-9.43508,-0.967469,-2.147309,No
-1.006473,-1.186555,-0.646526,No
-1.067264,-1.139299,-0.55052,No
-1.10779,-1.107795,-0.486515,No
-1.866163,-0.97193,-0.665481,No
0.24579,-0.956351,-0.440192,No
-0.665975,-0.823306,-0.346793,No
0.702201,-1.171452,-0.203079,No
-2.674709,-0.657367,0.19272,No
-4.828247,-0.344285,-0.53619,No
-0.456616,-0.794145,-0.228583,No
0.641411,-1.124196,-0.107072,No
-0.020468,-0.993494,0.040532,No
-1.384753,-0.700586,0.399746,No
-3.105064,-0.252978,1.351345,No
-2.083394,-0.31482,-0.442851,No
0.911561,-1.142291,-0.084868,No
0.623981,-0.866525,-0.139767,No
0.85077,-1.095035,0.011138,No
0.459041,-0.982428,0.180947,No
0.583454,-0.835021,-0.075763,No
-0.026349,-0.622739,-0.040512,No
-0.078425,-0.704319,0.071842,No
0.570633,0.203646,-0.805475,No
-0.913959,-0.560684,0.523813,No
-1.152297,-0.445258,0.421258,No
-1.225694,-0.213928,-0.002011,No
-2.888048,-0.055495,0.918278,No
-1.641452,-0.309129,1.254005,No
-0.179742,-0.625559,0.231853,No
-1.213087,-0.398002,0.517264,No
-0.405472,-0.694206,0.648573,No
-0.445999,-0.662702,0.712577,No
1.184543,-0.918467,-0.127361,No
1.12092,-1.11313,0.033342,No
-0.810867,-0.100368,-0.268519,No
0.454934,-0.072597,-0.532419,No
0.708927,-0.984771,0.235153,No
1.512649,-1.225737,-0.136467,No
1.512649,-1.225737,-0.136467,No
1.512649,-1.225737,-0.136467,No
1.512649,-1.225737,-0.136467,No
1.512649,-1.225737,-0.136467,No
1.512649,-1.225737,-0.136467,No
1.512649,-1.225737,-0.136467,No
1.512649,-1.225737,-0.136467,No
1.512649,-1.225737,-0.136467,No
-1.206489,0.067477,-0.601638,No
0.688663,-0.969019,0.267155,No
-2.025525,-0.0282,0.872536,No
-0.042721,-0.662225,0.494419,No
-0.341849,-0.499543,0.48787,No
0.648136,-0.937515,0.331159,No
-1.215204,0.196313,-0.617986,No
1.06013,-1.065874,0.129348,No
-0.402639,-0.452287,0.583876,No
0.931609,-0.30345,-0.327308,No
-0.300605,0.305187,-0.776081,No
1.10349,-0.855459,0.000647,No
-2.442341,0.173756,1.560928,No
-1.26326,-0.219303,1.55443,No
-1.26326,-0.219303,1.55443,No
1.495219,-0.968065,-0.169161,No
1.495219,-0.968065,-0.169161,No
1.495219,-0.968065,-0.169161,No
1.495219,-0.968065,-0.169161,No
1.495219,-0.968065,-0.169161,No
1.495219,-0.968065,-0.169161,No
1.495219,-0.968065,-0.169161,No
1.495219,-0.968065,-0.169161,No
1.495219,-0.968065,-0.169161,No
1.495219,-0.968065,-0.169161,No
-0.936212,-0.229416,0.9777,No
1.495219,-0.968065,-0.169161,No
0.042941,0.055762,-0.330608,No
0.064263,-0.257147,0.205015,No
-1.135082,0.151664,0.243515,No
1.224855,-0.095377,-0.401802,No
-0.560854,-0.381509,1.342821,No
-2.286115,0.418495,1.223867,No
-1.349264,0.196101,0.611886,No
0.898022,-0.939858,0.385365,No
0.653803,-0.453676,0.201766,No
-2.701069,0.583733,-0.066759,No
0.937276,0.180389,-0.456701,No
-3.286718,0.725024,0.439418,No
-0.43644,-0.234102,1.086112,No
-0.273617,0.476116,-0.369851,No
0.481923,0.098332,-0.126189,No
-0.280215,0.010637,0.749051,No
-0.220483,0.260538,0.08542,No
0.038118,0.12936,0.155973,No
1.19871,0.291129,-0.450844,No
1.19871,0.291129,-0.450844,No
0.675125,-0.766586,0.737389,No
0.772335,0.064485,-0.135987,No
-0.705873,0.620227,-0.136038,No
1.451644,-0.323888,-0.250898,No
0.330306,0.634589,-0.486146,No
0.536831,0.421831,-0.303239,No
0.759012,-0.587675,0.544684,No
0.847507,0.372232,-0.34504,No
-2.985815,1.101418,-0.186354,No
0.738749,-0.571923,0.576686,No
-0.786927,0.683235,-0.00803,No
0.711545,0.111741,-0.039981,No
-0.476251,0.633636,-0.04983,No
0.197177,0.616018,-0.245784,No
1.18128,0.5488,-0.483539,No
0.870604,0.598399,-0.441738,No
-1.267367,0.690528,0.841065,No
1.434215,-0.066216,-0.283592,No
1.434215,-0.066216,-0.283592,No
1.434215,-0.066216,-0.283592,No
1.434215,-0.066216,-0.283592,No
-0.425823,-0.102659,2.027272,No
0.519401,0.679502,-0.335934,No
-2.97909,1.288099,0.251877,No
-2.688677,1.254252,0.242079,No
-1.425709,1.040104,0.042876,No
0.830077,0.629903,-0.377734,No
0.74619,0.450992,-0.185029,No
-3.229103,1.56924,-1.359463,No
-1.118798,0.766945,1.055282,No
0.705664,0.482496,-0.121025,No
0.434798,-0.335643,1.056718,No
0.941168,0.12515,0.046227,No
0.488648,0.285013,0.312042,No
0.418084,0.758262,-0.175923,No
-0.253568,1.314957,-0.61229,No
-1.115964,1.008864,0.990585,No
-0.345112,0.967724,0.131692,No
0.604347,0.561256,0.038986,No
1.40807,0.32029,-0.332634,No
1.40807,0.32029,-0.332634,No
1.40807,0.32029,-0.332634,No
1.40807,0.32029,-0.332634,No
1.40807,0.32029,-0.332634,No
1.40807,0.32029,-0.332634,No
